transition_id,server_family,repository,before_boundary,after_boundary,cluster_date,tool_identity,transition_type,evidence_status,corpus_status
PLW001,Playwright MCP,microsoft/playwright,ac489f467d06886068ad855e68aa38b0037bb0dc,8d4588c85ce362f9bf43108e5cd0ee5eb7e3f9a9,2026-02-25,browser_show_tracing,introduction,source-verified,provisional-boundary-match
PLW002,Playwright MCP,microsoft/playwright,c0554cbe6a8792792c05dfa233c0025ebaa28001,6fd3cb4c45cbc4fc4ef2fde36624f91bfc3abd81,2026-03-02,browser_network_state_set,introduction,source-verified,provisional-boundary-match
PLW003,Playwright MCP,microsoft/playwright,d2f7d1f2f574ae08a73499431ef92bbedfc56c1e,f9f8fff0e09276062e3ace017b4c01d145de63e8,2026-04-22,browser_drop,introduction,source-verified,provisional-boundary-match
PLW004,Playwright MCP,microsoft/playwright,b7e9be05449fcadbd1c73a7f47dcb5a988a32dac,b19250e9c6456939b551b222d14bb8e343de2949,2026-04-30,browser_annotate,introduction,source-verified,provisional-boundary-match
PLW005,Playwright MCP,microsoft/playwright,329f8af2d3044fe75d7c4ac7fc2210aa5198b044,20e51e78570f3a09e16888b20eb5aea10e725d36,2026-05-19,browser_video_show_actions,introduction,source-verified,provisional-boundary-match
PLW006,Playwright MCP,microsoft/playwright,329f8af2d3044fe75d7c4ac7fc2210aa5198b044,20e51e78570f3a09e16888b20eb5aea10e725d36,2026-05-19,browser_video_hide_actions,introduction,source-verified,provisional-boundary-match
PLW007,Playwright MCP,microsoft/playwright,26385ab8f858fd1dd1ac5c0650297f47357e7b87,9725152dac40ed511098664fcd253b545f67e7f0,2026-07-02,browser_find,introduction,source-verified,provisional-boundary-match
